Company,Growth_Score,Growth_Change_Q,Heat_Score,Heat_Change,Business_Score,Headcount,News,News_Sentiment,News_Count,market
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Square,87.0,-7.0,84,22,94.0,3000.5,"Square: PYMNTS.com — Earnings Season Points to Point of Sale’s Evolution Beyond the Cash Register ~ Square: EIN Presswire — Payment Service Provider Market to Hit $140.91 Billion By 2034, Powering Seamless Transactions ~ Square: PYMNTS.com — Square Launches Customizable Unified POS App ~ Square: EIN Presswire — POS Software Market to Hit $45.05 Billion By 2030, Streamlining Retail Operations With POS Software",0.09545,4,San Francisco
Square,87.0,-7.0,84,22,94.0,3000.5,"Square: PYMNTS.com — Earnings Season Points to Point of Sale’s Evolution Beyond the Cash Register ~ Square: EIN Presswire — Payment Service Provider Market to Hit $140.91 Billion By 2034, Powering Seamless Transactions ~ Square: PYMNTS.com — Square Launches Customizable Unified POS App ~ Square: EIN Presswire — POS Software Market to Hit $45.05 Billion By 2030, Streamlining Retail Operations With POS Software",0.09545,4,San Francisco
Flexport,88.0,1.0,70,11,89.0,3000.5,"Flexport: Business Insider — The worst is yet to come: Trump's tariffs could mean even higher prices and empty shelves within weeks ~ Flexport: Boston Globe — Trump keeps contradicting himself on tariffs, making a fragile world economy nervous ~ Flexport: Benzinga.com — Trump's Trade War Causes Sharp Decline In US Imports From China ~ Flexport: Business Standard India — Trump's mixed signals on tariffs make fragile global economy nervous",-0.527225,4,Manhattan
Flexport,88.0,1.0,70,11,89.0,3000.5,"Flexport: Business Insider — The worst is yet to come: Trump's tariffs could mean even higher prices and empty shelves within weeks ~ Flexport: Boston Globe — Trump keeps contradicting himself on tariffs, making a fragile world economy nervous ~ Flexport: Benzinga.com — Trump's Trade War Causes Sharp Decline In US Imports From China ~ Flexport: Business Standard India — Trump's mixed signals on tariffs make fragile global economy nervous",-0.527225,4,Manhattan
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
Morgan Stanley,61.0,6.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Dallas/Ft Worth
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
